text,text_label
I regret this course from start to finish.,Negative
Simply spectacular — I could not be more pleased.,Positive
I would highly recommend this to everyone I know.,Positive
Functional but very basic — meets expectations.,Neutral
The acting was terrible and the narrative made no sense.,Negative
Very poor quality — not as described at all.,Negative
A complete waste of time and money.,Negative
A truly moving experience from start to finish.,Positive
The movie was boring and painfully unreliable.,Negative
The worst service I have experienced in years.,Negative
A beautiful and touching film that stayed with me.,Positive
Simply spectacular — I could not be more delighted.,Positive
A complete waste of time and money.,Negative
Very poor design — not as described at all.,Negative
"Works fantastic, very impressed with the craftsmanship.",Positive
Poorly made and utterly frustrating.,Negative
Poorly made and utterly unreliable.,Negative
Hands down the most memorable album I have watched this year.,Positive
Incredible — my whole family absolutely loved it.,Positive
Hands down the greatest device I have experienced this year.,Positive
Does not work as advertised — very frustrating.,Negative
A truly gripping experience from start to finish.,Positive
I loved every moment of this wonderful service.,Positive
"Complete junk, total waste of money.",Negative
Simply spectacular — I could not be more satisfied.,Positive
Hands down the most enjoyable service I have encountered this year.,Positive
The product had some good moments but also some predictable parts.,Neutral
I would highly recommend this to everyone I know.,Positive
"Amazing value, fantastic quality, very more delighted with the purchase.",Positive
The film was boring and painfully unreliable.,Negative
It does the job but nothing to get excited about.,Neutral
A middle-of-the-road experience overall.,Neutral
Neither impressed nor disappointed.,Neutral
The sound was outstanding and deeply gripping.,Positive
Best course in its category without a doubt.,Positive
I would highly recommend this to everyone I know.,Positive
It is what it is — perfectly ordinary.,Neutral
Nothing redeems this — a total disaster.,Negative
Five stars — every design was perfectly crafted.,Positive
Decent enough but nothing impressive.,Neutral
Very poor craftsmanship — not as described at all.,Negative
The device was boring and painfully mediocre.,Negative
Terrible plot and an incoherent narrative.,Negative
It is what it is — perfectly ordinary.,Neutral
Poorly made and utterly predictable.,Negative
Does not work as advertised — very frustrating.,Negative
"Complete junk, total waste of money.",Negative
Hands down the finest product I have experienced this year.,Positive
A complete waste of time and money.,Negative
The worst service I have experienced in years.,Negative
The worst course I have experienced in years.,Negative
A truly delightful experience from start to finish.,Positive
I have no strong feelings either way about this.,Neutral
Five stars — every pacing was perfectly crafted.,Positive
Incredible — my whole family absolutely loved it.,Positive
I have no strong feelings either way about this.,Neutral
Does not work as advertised — very disappointing.,Negative
Best course in its category without a doubt.,Positive
I regret this film from start to finish.,Negative
Remarkable build at a very fair price.,Positive
It is what it is — perfectly ordinary.,Neutral
Best album in its category without a doubt.,Positive
I would not recommend this to anyone.,Negative
I would not recommend this to anyone.,Negative
A middle-of-the-road experience overall.,Neutral
A middle-of-the-road experience overall.,Neutral
Very poor design — not as described at all.,Negative
Very poor quality — not as described at all.,Negative
I loved every moment of this wonderful device.,Positive
Average design at a reasonable price.,Neutral
The interface was outstanding and deeply inspiring.,Positive
"Complete junk, total waste of money.",Negative
The service had some good moments but also some forgettable parts.,Neutral
"Complete junk, total waste of money.",Negative
Very poor build — not as described at all.,Negative
The pacing was outstanding and deeply inspiring.,Positive
"Complete junk, total waste of money.",Negative
Incredible — my whole family absolutely loved it.,Positive
The worst service I have experienced in years.,Negative
Best device in its category without a doubt.,Positive
Terrible interface and an incoherent story.,Negative
Simply spectacular — I could not be more delighted.,Positive
The worst app I have experienced in years.,Negative
Hands down the most impressive album I have experienced this year.,Positive
Best show in its category without a doubt.,Positive
Very poor performance — not as described at all.,Negative
A huge letdown — I expected so much more.,Negative
The worst movie I have experienced in years.,Negative
Average quality at a reasonable price.,Neutral
Hands down the most enjoyable course I have seen this year.,Positive
Absolutely dreadful — one of the worst films ever.,Negative
"Complete junk, total waste of money.",Negative
The interface was terrible and the story made no sense.,Negative
Poorly made and utterly mediocre.,Negative
"Amazing value, excellent quality, very more delighted with the purchase.",Positive
I have no strong feelings either way about this.,Neutral
Decent enough but nothing noteworthy.,Neutral
I regret this device from start to finish.,Negative
Five stars — every sound was perfectly crafted.,Positive
The features was terrible and the concept made no sense.,Negative
A complete waste of time and money.,Negative
It is what it is — perfectly ordinary.,Neutral
The design was terrible and the premise made no sense.,Negative
I have no strong feelings either way about this.,Neutral
Terrible sound and an incoherent premise.,Negative
The film had some good moments but also some frustrating parts.,Neutral
Simply spectacular — I could not be more pleased.,Positive
I would not recommend this to anyone.,Negative
The film had some good moments but also some frustrating parts.,Neutral
A complete waste of time and money.,Negative
Neither impressed nor disappointed.,Neutral
"Amazing value, amazing quality, very more pleased with the purchase.",Positive
"Works superb, very impressed with the craftsmanship.",Positive
The app broke after two days of use.,Negative
The script was terrible and the plot made no sense.,Negative
This product was absolutely wonderful and gripping!,Positive
A huge letdown — I expected so much more.,Negative
Very poor design — not as described at all.,Negative
Decent enough but nothing remarkable.,Neutral
The interface was superb and deeply beautiful.,Positive
"Amazing value, amazing quality, very more delighted with the purchase.",Positive
The album had some good moments but also some disappointing parts.,Neutral
A truly gripping experience from start to finish.,Positive
Neither impressed nor disappointed.,Neutral
It is what it is — perfectly ordinary.,Neutral
A complete waste of time and money.,Negative
The worst service I have experienced in years.,Negative
I would highly recommend this to everyone I know.,Positive
I would not recommend this to anyone.,Negative
Poorly made and utterly disappointing.,Negative
Average build at a reasonable price.,Neutral
"It was okay, neither outstanding nor particularly predictable.",Neutral
Best album in its category without a doubt.,Positive
"Works outstanding, very impressed with the craftsmanship.",Positive
This film was absolutely fantastic and delightful!,Positive
Neither impressed nor disappointed.,Neutral
Absolutely dreadful — one of the worst albums ever.,Negative
Absolutely dreadful — one of the worst movies ever.,Negative
Very poor build — not as described at all.,Negative
Remarkable build at a very fair price.,Positive
"It was okay, neither outstanding nor particularly predictable.",Neutral
The interface was wonderful and deeply delightful.,Positive
Not bad but not particularly impressive either.,Neutral
I regret this album from start to finish.,Negative
The course broke after two days of use.,Negative
Poorly made and utterly disappointing.,Negative
I would highly recommend this to everyone I know.,Positive
Best app in its category without a doubt.,Positive
A truly unforgettable experience from start to finish.,Positive
The worst book I have experienced in years.,Negative
I have no strong feelings either way about this.,Neutral
"Amazing value, amazing quality, very more delighted with the purchase.",Positive
The acting was outstanding and deeply inspiring.,Positive
The script was terrible and the plot made no sense.,Negative
"Amazing value, brilliant quality, very more pleased with the purchase.",Positive
"Amazing value, fantastic quality, very more pleased with the purchase.",Positive
A huge letdown — I expected so much more.,Negative
"Amazing value, excellent quality, very happier with the purchase.",Positive
The album broke after two days of use.,Negative
The app works as described — nothing more.,Neutral
The film was boring and painfully mediocre.,Negative
I would highly recommend this to everyone I know.,Positive
Terrible design and an incoherent narrative.,Negative
I have no strong feelings either way about this.,Neutral
Outstanding build — exceeded all hopes.,Positive
Nothing redeems this — a total disaster.,Negative
Outstanding craftsmanship — exceeded all anticipations.,Positive
A middle-of-the-road experience overall.,Neutral
I have no strong feelings either way about this.,Neutral
Functional but very basic — meets expectations.,Neutral
I would not recommend this to anyone.,Negative
A huge letdown — I expected so much more.,Negative
The course broke after two days of use.,Negative
It is what it is — perfectly ordinary.,Neutral
Incredible — my whole family absolutely loved it.,Positive
It does the job but nothing to get excited about.,Neutral
Terrible interface and an incoherent concept.,Negative
The worst app I have experienced in years.,Negative
"Amazing value, excellent quality, very more satisfied with the purchase.",Positive
Five stars — every interface was perfectly crafted.,Positive
I regret this film from start to finish.,Negative
A huge letdown — I expected so much more.,Negative
The product works as described — nothing more.,Neutral
It is what it is — perfectly ordinary.,Neutral
Absolutely dreadful — one of the worst albums ever.,Negative
The service broke after two days of use.,Negative
A beautiful and touching device that stayed with me.,Positive
Five stars — every design was perfectly crafted.,Positive
I have no strong feelings either way about this.,Neutral
A huge letdown — I expected so much more.,Negative
A complete waste of time and money.,Negative
Nothing redeems this — a total disaster.,Negative
Five stars — every plot was perfectly crafted.,Positive
Nothing redeems this — a total disaster.,Negative
Five stars — every pacing was perfectly crafted.,Positive
Incredible — my whole family absolutely loved it.,Positive
"Works amazing, very impressed with the performance.",Positive
I would highly recommend this to everyone I know.,Positive
Hands down the finest course I have used this year.,Positive
I have no strong feelings either way about this.,Neutral
Simply spectacular — I could not be more delighted.,Positive
Absolutely dreadful — one of the worst books ever.,Negative
A complete waste of time and money.,Negative
I regret this app from start to finish.,Negative
Very poor quality — not as described at all.,Negative
Decent enough but nothing impressive.,Neutral
Hands down the greatest service I have encountered this year.,Positive
It does the job but nothing to get excited about.,Neutral
A complete waste of time and money.,Negative
The album broke after two days of use.,Negative
The script was terrible and the concept made no sense.,Negative
Neither impressed nor disappointed.,Neutral
Very poor design — not as described at all.,Negative
A truly inspiring experience from start to finish.,Positive
I have no strong feelings either way about this.,Neutral
Terrible sound and an incoherent story.,Negative
The app had some good moments but also some mediocre parts.,Neutral
Poorly made and utterly predictable.,Negative
Poorly made and utterly unreliable.,Negative
The design was wonderful and deeply unforgettable.,Positive
Poorly made and utterly disappointing.,Negative
Terrible script and an incoherent premise.,Negative
The features was brilliant and deeply beautiful.,Positive
Poorly made and utterly predictable.,Negative
Absolutely dreadful — one of the worst shows ever.,Negative
Neither impressed nor disappointed.,Neutral
It is acceptable for everyday use I suppose.,Neutral
Simply spectacular — I could not be more satisfied.,Positive
Five stars — every pacing was perfectly crafted.,Positive
"Amazing value, amazing quality, very more satisfied with the purchase.",Positive
I would not recommend this to anyone.,Negative
It is what it is — perfectly ordinary.,Neutral
Best book in its category without a doubt.,Positive
"Works amazing, very impressed with the performance.",Positive
"Works amazing, very impressed with the craftsmanship.",Positive
It is acceptable for everyday use I suppose.,Neutral
The sound was amazing and deeply unforgettable.,Positive
The album broke after two days of use.,Negative
"Works outstanding, very impressed with the craftsmanship.",Positive
Hands down the most impressive book I have used this year.,Positive
Incredible — my whole family absolutely loved it.,Positive
"Complete junk, total waste of money.",Negative
It is what it is — perfectly ordinary.,Neutral
Not bad but not particularly impressive either.,Neutral
The script was terrible and the narrative made no sense.,Negative
It does the job but nothing to get excited about.,Neutral
Absolutely dreadful — one of the worst products ever.,Negative
The album was boring and painfully predictable.,Negative
Hands down the most enjoyable movie I have encountered this year.,Positive
The movie was boring and painfully disappointing.,Negative
"Works outstanding, very impressed with the craftsmanship.",Positive
The design was wonderful and deeply gripping.,Positive
I loved every moment of this brilliant album.,Positive
"It was okay, neither excellent nor particularly frustrating.",Neutral
A truly gripping experience from start to finish.,Positive
Very poor design — not as described at all.,Negative
The script was brilliant and deeply inspiring.,Positive
It does the job but nothing to get excited about.,Neutral
It does the job but nothing to get excited about.,Neutral
"Complete junk, total waste of money.",Negative
The service was boring and painfully predictable.,Negative
"Complete junk, total waste of money.",Negative
I regret this device from start to finish.,Negative
The worst service I have experienced in years.,Negative
The worst movie I have experienced in years.,Negative
Remarkable craftsmanship at a very fair price.,Positive
Neither impressed nor disappointed.,Neutral
A complete waste of time and money.,Negative
A truly delightful experience from start to finish.,Positive
Absolutely dreadful — one of the worst movies ever.,Negative
"Complete junk, total waste of money.",Negative
Nothing redeems this — a total disaster.,Negative
Average build at a reasonable price.,Neutral
Functional but very basic — meets expectations.,Neutral
I loved every moment of this amazing course.,Positive
A middle-of-the-road experience overall.,Neutral
Terrible features and an incoherent concept.,Negative
The album broke after two days of use.,Negative
Does not work as advertised — very unreliable.,Negative
"Amazing value, wonderful quality, very more satisfied with the purchase.",Positive
Simply spectacular — I could not be more delighted.,Positive
I have no strong feelings either way about this.,Neutral
It is what it is — perfectly ordinary.,Neutral
A beautiful and touching course that stayed with me.,Positive
Average design at a reasonable price.,Neutral
Simply spectacular — I could not be more delighted.,Positive
"Works excellent, very impressed with the build.",Positive
Simply spectacular — I could not be more satisfied.,Positive
The script was brilliant and deeply moving.,Positive
A truly delightful experience from start to finish.,Positive
It does the job but nothing to get excited about.,Neutral
Very poor craftsmanship — not as described at all.,Negative
The movie was boring and painfully frustrating.,Negative
"Complete junk, total waste of money.",Negative
Functional but very basic — meets expectations.,Neutral
Very poor performance — not as described at all.,Negative
"Works brilliant, very impressed with the quality.",Positive
I regret this course from start to finish.,Negative
The features was excellent and deeply beautiful.,Positive
I would not recommend this to anyone.,Negative
I loved every moment of this amazing device.,Positive
The script was terrible and the story made no sense.,Negative
Nothing redeems this — a total disaster.,Negative
Nothing redeems this — a total disaster.,Negative
Functional but very basic — meets expectations.,Neutral
The course was boring and painfully mediocre.,Negative
Incredible — my whole family absolutely loved it.,Positive
Simply spectacular — I could not be happier.,Positive
The script was terrible and the narrative made no sense.,Negative
The show works as described — nothing more.,Neutral
Remarkable build at a very fair price.,Positive
Outstanding design — exceeded all hopes.,Positive
The film broke after two days of use.,Negative
I loved every moment of this superb show.,Positive
Simply spectacular — I could not be more delighted.,Positive
"Works outstanding, very impressed with the craftsmanship.",Positive
Nothing redeems this — a total disaster.,Negative
It is acceptable for everyday use I suppose.,Neutral
I regret this show from start to finish.,Negative
I have no strong feelings either way about this.,Neutral
I have no strong feelings either way about this.,Neutral
Poorly made and utterly unreliable.,Negative
Nothing redeems this — a total disaster.,Negative
It is acceptable for everyday use I suppose.,Neutral
Hands down the most enjoyable book I have watched this year.,Positive
The interface was fantastic and deeply delightful.,Positive
The album was boring and painfully frustrating.,Negative
"Complete junk, total waste of money.",Negative
I would highly recommend this to everyone I know.,Positive
I would not recommend this to anyone.,Negative
Poorly made and utterly disappointing.,Negative
This album was absolutely outstanding and moving!,Positive
"Complete junk, total waste of money.",Negative
Not bad but not particularly impressive either.,Neutral
The device broke after two days of use.,Negative
I would not recommend this to anyone.,Negative
Absolutely dreadful — one of the worst shows ever.,Negative
Nothing redeems this — a total disaster.,Negative
Five stars — every plot was perfectly crafted.,Positive
It does the job but nothing to get excited about.,Neutral
Simply spectacular — I could not be happier.,Positive
Five stars — every acting was perfectly crafted.,Positive
Incredible — my whole family absolutely loved it.,Positive
Poorly made and utterly forgettable.,Negative
It is what it is — perfectly ordinary.,Neutral
Remarkable design at a very fair price.,Positive
A complete waste of time and money.,Negative
The plot was fantastic and deeply delightful.,Positive
Functional but very basic — meets expectations.,Neutral
"Works amazing, very impressed with the quality.",Positive
Terrible pacing and an incoherent premise.,Negative
The album was boring and painfully disappointing.,Negative
I regret this show from start to finish.,Negative
Nothing redeems this — a total disaster.,Negative
It is acceptable for everyday use I suppose.,Neutral
Five stars — every pacing was perfectly crafted.,Positive
It does the job but nothing to get excited about.,Neutral
Terrible design and an incoherent narrative.,Negative
I regret this film from start to finish.,Negative
I regret this app from start to finish.,Negative
"It was okay, neither outstanding nor particularly unreliable.",Neutral
Remarkable craftsmanship at a very fair price.,Positive
I would not recommend this to anyone.,Negative
Outstanding quality — exceeded all anticipations.,Positive
The features was fantastic and deeply moving.,Positive
Very poor craftsmanship — not as described at all.,Negative
Very poor performance — not as described at all.,Negative
"Complete junk, total waste of money.",Negative
Incredible — my whole family absolutely loved it.,Positive
I would not recommend this to anyone.,Negative
A truly gripping experience from start to finish.,Positive
I loved every moment of this amazing show.,Positive
Best product in its category without a doubt.,Positive
"Works excellent, very impressed with the performance.",Positive
Nothing redeems this — a total disaster.,Negative
I would not recommend this to anyone.,Negative
Hands down the finest book I have seen this year.,Positive
The product works as described — nothing more.,Neutral
Incredible — my whole family absolutely loved it.,Positive
This book was absolutely superb and gripping!,Positive
Outstanding craftsmanship — exceeded all hopes.,Positive
Best device in its category without a doubt.,Positive
Incredible — my whole family absolutely loved it.,Positive
Incredible — my whole family absolutely loved it.,Positive
I would not recommend this to anyone.,Negative
Five stars — every interface was perfectly crafted.,Positive
The script was superb and deeply delightful.,Positive
Hands down the greatest book I have used this year.,Positive
The app was boring and painfully frustrating.,Negative
"Works excellent, very impressed with the craftsmanship.",Positive
Does not work as advertised — very unreliable.,Negative
Very poor craftsmanship — not as described at all.,Negative
Functional but very basic — meets expectations.,Neutral
A truly beautiful experience from start to finish.,Positive
I regret this movie from start to finish.,Negative
The worst film I have experienced in years.,Negative
Terrible acting and an incoherent story.,Negative
I have no strong feelings either way about this.,Neutral
A truly inspiring experience from start to finish.,Positive
This course was absolutely fantastic and delightful!,Positive
Hands down the greatest book I have watched this year.,Positive
This course was absolutely fantastic and inspiring!,Positive
Nothing redeems this — a total disaster.,Negative
I loved every moment of this wonderful film.,Positive
It does the job but nothing to get excited about.,Neutral
Absolutely dreadful — one of the worst films ever.,Negative
Simply spectacular — I could not be more satisfied.,Positive
Incredible — my whole family absolutely loved it.,Positive
The book broke after two days of use.,Negative
Nothing redeems this — a total disaster.,Negative
Absolutely dreadful — one of the worst shows ever.,Negative
The sound was terrible and the plot made no sense.,Negative
A complete waste of time and money.,Negative
A huge letdown — I expected so much more.,Negative
I would highly recommend this to everyone I know.,Positive
I loved every moment of this wonderful book.,Positive
Very poor quality — not as described at all.,Negative
Absolutely dreadful — one of the worst albums ever.,Negative
The movie works as described — nothing more.,Neutral
The features was terrible and the concept made no sense.,Negative
This device was absolutely superb and beautiful!,Positive
A beautiful and touching app that stayed with me.,Positive
Simply spectacular — I could not be more delighted.,Positive
Nothing redeems this — a total disaster.,Negative
The service was boring and painfully disappointing.,Negative
I would highly recommend this to everyone I know.,Positive
Incredible — my whole family absolutely loved it.,Positive
Five stars — every interface was perfectly crafted.,Positive
I loved every moment of this amazing course.,Positive
Does not work as advertised — very frustrating.,Negative
The worst product I have experienced in years.,Negative
Best movie in its category without a doubt.,Positive
Absolutely dreadful — one of the worst films ever.,Negative
The product broke after two days of use.,Negative
Incredible — my whole family absolutely loved it.,Positive
I regret this movie from start to finish.,Negative
The worst product I have experienced in years.,Negative
"It was okay, neither wonderful nor particularly frustrating.",Neutral
"Works fantastic, very impressed with the build.",Positive
The app was boring and painfully forgettable.,Negative
Incredible — my whole family absolutely loved it.,Positive
The worst app I have experienced in years.,Negative
Functional but very basic — meets expectations.,Neutral
Outstanding performance — exceeded all expectations.,Positive
It is what it is — perfectly ordinary.,Neutral
"Amazing value, excellent quality, very more pleased with the purchase.",Positive
A beautiful and touching movie that stayed with me.,Positive
Nothing redeems this — a total disaster.,Negative
"It was okay, neither fantastic nor particularly predictable.",Neutral
It is what it is — perfectly ordinary.,Neutral
A truly beautiful experience from start to finish.,Positive
A truly inspiring experience from start to finish.,Positive
It does the job but nothing to get excited about.,Neutral
Simply spectacular — I could not be happier.,Positive
Average quality at a reasonable price.,Neutral
I loved every moment of this superb film.,Positive
Incredible — my whole family absolutely loved it.,Positive
Remarkable quality at a very fair price.,Positive
Poorly made and utterly frustrating.,Negative
It does the job but nothing to get excited about.,Neutral
Decent enough but nothing remarkable.,Neutral
Functional but very basic — meets expectations.,Neutral
Hands down the most impressive product I have seen this year.,Positive
The sound was terrible and the story made no sense.,Negative
Incredible — my whole family absolutely loved it.,Positive
Neither impressed nor disappointed.,Neutral
Does not work as advertised — very mediocre.,Negative
Poorly made and utterly frustrating.,Negative
The interface was terrible and the narrative made no sense.,Negative
I regret this film from start to finish.,Negative
Outstanding craftsmanship — exceeded all expectations.,Positive
It does the job but nothing to get excited about.,Neutral
A truly unforgettable experience from start to finish.,Positive
Simply spectacular — I could not be happier.,Positive
Hands down the most memorable movie I have experienced this year.,Positive
Absolutely dreadful — one of the worst shows ever.,Negative
Functional but very basic — meets expectations.,Neutral
I loved every moment of this outstanding service.,Positive
A huge letdown — I expected so much more.,Negative
Decent enough but nothing noteworthy.,Neutral
Functional but very basic — meets expectations.,Neutral
Hands down the most memorable show I have seen this year.,Positive
"Complete junk, total waste of money.",Negative
The device broke after two days of use.,Negative
Simply spectacular — I could not be more delighted.,Positive
It is what it is — perfectly ordinary.,Neutral
"Works outstanding, very impressed with the craftsmanship.",Positive
The course broke after two days of use.,Negative
"Complete junk, total waste of money.",Negative
Remarkable build at a very fair price.,Positive
"Complete junk, total waste of money.",Negative
"Complete junk, total waste of money.",Negative
The product was boring and painfully unreliable.,Negative
A huge letdown — I expected so much more.,Negative
Incredible — my whole family absolutely loved it.,Positive
Terrible sound and an incoherent story.,Negative
The show was boring and painfully predictable.,Negative
"Amazing value, superb quality, very more pleased with the purchase.",Positive
I regret this product from start to finish.,Negative
Poorly made and utterly forgettable.,Negative
Functional but very basic — meets expectations.,Neutral
The design was excellent and deeply unforgettable.,Positive
Five stars — every script was perfectly crafted.,Positive
Remarkable performance at a very fair price.,Positive
Poorly made and utterly disappointing.,Negative
A truly inspiring experience from start to finish.,Positive
The app was boring and painfully forgettable.,Negative
The service had some good moments but also some frustrating parts.,Neutral
The course broke after two days of use.,Negative
"Complete junk, total waste of money.",Negative
Five stars — every sound was perfectly crafted.,Positive
Five stars — every plot was perfectly crafted.,Positive
Nothing redeems this — a total disaster.,Negative
Does not work as advertised — very mediocre.,Negative
Best book in its category without a doubt.,Positive
The album works as described — nothing more.,Neutral
Terrible sound and an incoherent concept.,Negative
Poorly made and utterly disappointing.,Negative
Best app in its category without a doubt.,Positive
Nothing redeems this — a total disaster.,Negative
I would highly recommend this to everyone I know.,Positive
Five stars — every acting was perfectly crafted.,Positive
Does not work as advertised — very frustrating.,Negative
I would not recommend this to anyone.,Negative
It does the job but nothing to get excited about.,Neutral
Hands down the finest show I have encountered this year.,Positive
I have no strong feelings either way about this.,Neutral
It does the job but nothing to get excited about.,Neutral
Not bad but not particularly impressive either.,Neutral
"Complete junk, total waste of money.",Negative
Poorly made and utterly predictable.,Negative
Poorly made and utterly mediocre.,Negative
A truly inspiring experience from start to finish.,Positive
It does the job but nothing to get excited about.,Neutral
It does the job but nothing to get excited about.,Neutral
Five stars — every script was perfectly crafted.,Positive
Not bad but not particularly impressive either.,Neutral
I would not recommend this to anyone.,Negative
Outstanding quality — exceeded all hopes.,Positive
A middle-of-the-road experience overall.,Neutral
Very poor performance — not as described at all.,Negative
A beautiful and touching product that stayed with me.,Positive
Simply spectacular — I could not be more pleased.,Positive
Nothing redeems this — a total disaster.,Negative
Incredible — my whole family absolutely loved it.,Positive
Best show in its category without a doubt.,Positive
Decent enough but nothing memorable.,Neutral
I would highly recommend this to everyone I know.,Positive
"It was okay, neither superb nor particularly unreliable.",Neutral
A beautiful and touching movie that stayed with me.,Positive
"Works outstanding, very impressed with the quality.",Positive
Absolutely dreadful — one of the worst books ever.,Negative
I regret this service from start to finish.,Negative
I would not recommend this to anyone.,Negative
"Works fantastic, very impressed with the performance.",Positive
Poorly made and utterly predictable.,Negative
Nothing redeems this — a total disaster.,Negative
The worst device I have experienced in years.,Negative
Five stars — every design was perfectly crafted.,Positive
The product had some good moments but also some frustrating parts.,Neutral
I loved every moment of this amazing app.,Positive
Functional but very basic — meets expectations.,Neutral
I have no strong feelings either way about this.,Neutral
Absolutely dreadful — one of the worst albums ever.,Negative
Nothing redeems this — a total disaster.,Negative
Nothing redeems this — a total disaster.,Negative
The pacing was excellent and deeply moving.,Positive
Simply spectacular — I could not be more satisfied.,Positive
Simply spectacular — I could not be more pleased.,Positive
Simply spectacular — I could not be more satisfied.,Positive
Not bad but not particularly impressive either.,Neutral
This book was absolutely brilliant and inspiring!,Positive
Functional but very basic — meets expectations.,Neutral
Hands down the most impressive app I have encountered this year.,Positive
The movie had some good moments but also some frustrating parts.,Neutral
"Amazing value, wonderful quality, very more satisfied with the purchase.",Positive
I would highly recommend this to everyone I know.,Positive
Absolutely dreadful — one of the worst films ever.,Negative
Average craftsmanship at a reasonable price.,Neutral
I regret this product from start to finish.,Negative
Decent enough but nothing special.,Neutral
Five stars — every script was perfectly crafted.,Positive
Best course in its category without a doubt.,Positive
Very poor design — not as described at all.,Negative
I would not recommend this to anyone.,Negative
The book broke after two days of use.,Negative
The script was terrible and the concept made no sense.,Negative
The interface was excellent and deeply moving.,Positive
It is acceptable for everyday use I suppose.,Neutral
Hands down the greatest app I have used this year.,Positive
The acting was terrible and the premise made no sense.,Negative
Incredible — my whole family absolutely loved it.,Positive
Very poor performance — not as described at all.,Negative
A complete waste of time and money.,Negative
I regret this movie from start to finish.,Negative
It does the job but nothing to get excited about.,Neutral
A middle-of-the-road experience overall.,Neutral
I loved every moment of this fantastic book.,Positive
Nothing redeems this — a total disaster.,Negative
A huge letdown — I expected so much more.,Negative
Average quality at a reasonable price.,Neutral
Terrible pacing and an incoherent story.,Negative
A huge letdown — I expected so much more.,Negative
A huge letdown — I expected so much more.,Negative
Decent enough but nothing memorable.,Neutral
Neither impressed nor disappointed.,Neutral
Terrible script and an incoherent narrative.,Negative
Terrible interface and an incoherent plot.,Negative
Best app in its category without a doubt.,Positive
Poorly made and utterly predictable.,Negative
Decent enough but nothing special.,Neutral
The service broke after two days of use.,Negative
Terrible direction and an incoherent premise.,Negative
A truly beautiful experience from start to finish.,Positive
A complete waste of time and money.,Negative
A middle-of-the-road experience overall.,Neutral
Does not work as advertised — very frustrating.,Negative
A complete waste of time and money.,Negative
Not bad but not particularly impressive either.,Neutral
Poorly made and utterly unreliable.,Negative
I have no strong feelings either way about this.,Neutral
"Complete junk, total waste of money.",Negative
"Amazing value, superb quality, very more delighted with the purchase.",Positive
The service had some good moments but also some forgettable parts.,Neutral
A huge letdown — I expected so much more.,Negative
It is acceptable for everyday use I suppose.,Neutral
A huge letdown — I expected so much more.,Negative
A complete waste of time and money.,Negative
Average craftsmanship at a reasonable price.,Neutral
"Works wonderful, very impressed with the build.",Positive
A middle-of-the-road experience overall.,Neutral
This book was absolutely outstanding and unforgettable!,Positive
"Works outstanding, very impressed with the design.",Positive
The worst course I have experienced in years.,Negative
Not bad but not particularly impressive either.,Neutral
Not bad but not particularly impressive either.,Neutral
A huge letdown — I expected so much more.,Negative
A beautiful and touching course that stayed with me.,Positive
A huge letdown — I expected so much more.,Negative
"Works wonderful, very impressed with the quality.",Positive
Very poor build — not as described at all.,Negative
The worst album I have experienced in years.,Negative
The design was terrible and the premise made no sense.,Negative
A beautiful and touching book that stayed with me.,Positive
Simply spectacular — I could not be more delighted.,Positive
Five stars — every sound was perfectly crafted.,Positive
Not bad but not particularly impressive either.,Neutral
I would highly recommend this to everyone I know.,Positive
This device was absolutely brilliant and moving!,Positive
This show was absolutely superb and gripping!,Positive
Terrible plot and an incoherent premise.,Negative
I have no strong feelings either way about this.,Neutral
